,Mouse ID,Session ID,Block Trial,Port Streak,Reward Streak,Decision,Switch,Higher p port,Reward
0,myrtle,06222016_myrtle,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,myrtle,06222016_myrtle,1.0,1.0,-1.0,0.0,0.0,0.0,0.0
2,myrtle,06222016_myrtle,2.0,2.0,-2.0,0.0,0.0,0.0,0.0
3,myrtle,06222016_myrtle,3.0,3.0,-3.0,1.0,1.0,1.0,1.0
4,myrtle,06222016_myrtle,4.0,1.0,1.0,1.0,0.0,1.0,1.0
5,myrtle,06222016_myrtle,5.0,2.0,2.0,0.0,1.0,0.0,0.0
6,myrtle,06222016_myrtle,6.0,1.0,-1.0,0.0,0.0,0.0,0.0
7,myrtle,06222016_myrtle,7.0,2.0,-2.0,1.0,1.0,1.0,1.0
8,myrtle,06222016_myrtle,8.0,1.0,1.0,1.0,0.0,1.0,1.0
9,myrtle,06222016_myrtle,9.0,2.0,2.0,0.0,1.0,0.0,0.0
10,myrtle,06222016_myrtle,10.0,1.0,-1.0,1.0,1.0,1.0,1.0
11,myrtle,06222016_myrtle,11.0,1.0,1.0,1.0,0.0,1.0,1.0
12,myrtle,06222016_myrtle,12.0,2.0,2.0,1.0,0.0,1.0,1.0
13,myrtle,06222016_myrtle,13.0,3.0,3.0,0.0,1.0,0.0,0.0
14,myrtle,06222016_myrtle,14.0,1.0,-1.0,1.0,1.0,1.0,1.0
15,myrtle,06222016_myrtle,15.0,1.0,1.0,1.0,0.0,1.0,1.0
16,myrtle,06222016_myrtle,16.0,2.0,2.0,1.0,0.0,1.0,1.0
17,myrtle,06222016_myrtle,17.0,3.0,3.0,0.0,1.0,0.0,0.0
18,myrtle,06222016_myrtle,18.0,1.0,-1.0,1.0,1.0,1.0,1.0
19,myrtle,06222016_myrtle,19.0,1.0,1.0,0.0,1.0,0.0,0.0
20,myrtle,06222016_myrtle,20.0,1.0,-1.0,0.0,0.0,0.0,0.0
21,myrtle,06222016_myrtle,21.0,2.0,-2.0,0.0,0.0,0.0,0.0
22,myrtle,06222016_myrtle,22.0,3.0,-3.0,1.0,1.0,1.0,1.0
23,myrtle,06222016_myrtle,23.0,1.0,1.0,1.0,0.0,1.0,1.0
24,myrtle,06222016_myrtle,24.0,2.0,2.0,1.0,0.0,1.0,1.0
25,myrtle,06222016_myrtle,25.0,3.0,3.0,1.0,0.0,1.0,1.0
26,myrtle,06222016_myrtle,26.0,4.0,4.0,1.0,0.0,1.0,1.0
27,myrtle,06222016_myrtle,27.0,5.0,5.0,1.0,0.0,1.0,1.0
28,myrtle,06222016_myrtle,28.0,6.0,6.0,1.0,0.0,1.0,1.0
29,myrtle,06222016_myrtle,29.0,7.0,7.0,1.0,0.0,1.0,1.0
30,myrtle,06222016_myrtle,30.0,8.0,8.0,1.0,0.0,1.0,1.0
31,myrtle,06222016_myrtle,31.0,9.0,9.0,1.0,0.0,1.0,1.0
32,myrtle,06222016_myrtle,32.0,10.0,10.0,1.0,0.0,1.0,1.0
33,myrtle,06222016_myrtle,33.0,11.0,11.0,1.0,0.0,1.0,1.0
34,myrtle,06222016_myrtle,34.0,12.0,12.0,1.0,0.0,1.0,1.0
35,myrtle,06222016_myrtle,35.0,13.0,13.0,0.0,1.0,0.0,0.0
36,myrtle,06222016_myrtle,36.0,1.0,-1.0,0.0,0.0,0.0,0.0
37,myrtle,06222016_myrtle,37.0,2.0,-2.0,1.0,1.0,1.0,1.0
38,myrtle,06222016_myrtle,38.0,1.0,1.0,1.0,0.0,1.0,1.0
39,myrtle,06222016_myrtle,39.0,2.0,2.0,1.0,0.0,1.0,1.0
40,myrtle,06222016_myrtle,40.0,3.0,3.0,1.0,0.0,1.0,1.0
41,myrtle,06222016_myrtle,41.0,4.0,4.0,1.0,0.0,1.0,1.0
42,myrtle,06222016_myrtle,42.0,5.0,5.0,1.0,0.0,1.0,1.0
43,myrtle,06222016_myrtle,0.0,6.0,6.0,1.0,0.0,0.0,0.0
44,myrtle,06222016_myrtle,1.0,7.0,-1.0,1.0,0.0,0.0,0.0
45,myrtle,06222016_myrtle,2.0,8.0,-2.0,0.0,1.0,1.0,1.0
46,myrtle,06222016_myrtle,3.0,1.0,1.0,0.0,0.0,1.0,1.0
47,myrtle,06222016_myrtle,4.0,2.0,2.0,1.0,1.0,0.0,0.0
48,myrtle,06222016_myrtle,5.0,1.0,-1.0,1.0,0.0,0.0,0.0
49,myrtle,06222016_myrtle,6.0,2.0,-2.0,1.0,0.0,0.0,0.0
