,Mouse ID,Session ID,Block Trial,Port Streak,Reward Streak,Decision,Switch,Higher p port,Reward
0,quirrel,07252016_quirrel,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,quirrel,07252016_quirrel,1.0,1.0,-1.0,1.0,0.0,0.0,0.0
2,quirrel,07252016_quirrel,2.0,2.0,-2.0,1.0,0.0,0.0,0.0
3,quirrel,07252016_quirrel,3.0,3.0,-3.0,1.0,0.0,0.0,0.0
4,quirrel,07252016_quirrel,4.0,4.0,-4.0,1.0,0.0,0.0,0.0
5,quirrel,07252016_quirrel,5.0,5.0,-5.0,1.0,0.0,0.0,0.0
6,quirrel,07252016_quirrel,6.0,6.0,-6.0,0.0,1.0,1.0,1.0
7,quirrel,07252016_quirrel,7.0,1.0,1.0,0.0,0.0,1.0,0.0
8,quirrel,07252016_quirrel,8.0,2.0,-1.0,0.0,0.0,1.0,1.0
9,quirrel,07252016_quirrel,9.0,3.0,1.0,0.0,0.0,1.0,1.0
10,quirrel,07252016_quirrel,10.0,4.0,2.0,0.0,0.0,1.0,0.0
11,quirrel,07252016_quirrel,11.0,5.0,-1.0,0.0,0.0,1.0,0.0
12,quirrel,07252016_quirrel,12.0,6.0,-2.0,0.0,0.0,1.0,0.0
13,quirrel,07252016_quirrel,13.0,7.0,-3.0,0.0,0.0,1.0,1.0
14,quirrel,07252016_quirrel,14.0,8.0,1.0,0.0,0.0,1.0,1.0
15,quirrel,07252016_quirrel,15.0,9.0,2.0,0.0,0.0,1.0,1.0
16,quirrel,07252016_quirrel,16.0,10.0,3.0,0.0,0.0,1.0,1.0
17,quirrel,07252016_quirrel,17.0,11.0,4.0,0.0,0.0,1.0,0.0
18,quirrel,07252016_quirrel,18.0,12.0,-1.0,0.0,0.0,1.0,1.0
19,quirrel,07252016_quirrel,19.0,13.0,1.0,0.0,0.0,1.0,0.0
20,quirrel,07252016_quirrel,20.0,14.0,-1.0,0.0,0.0,1.0,0.0
21,quirrel,07252016_quirrel,21.0,15.0,-2.0,0.0,0.0,1.0,0.0
22,quirrel,07252016_quirrel,22.0,16.0,-3.0,1.0,1.0,0.0,0.0
23,quirrel,07252016_quirrel,23.0,1.0,-4.0,1.0,0.0,0.0,1.0
24,quirrel,07252016_quirrel,24.0,2.0,1.0,1.0,0.0,0.0,0.0
25,quirrel,07252016_quirrel,25.0,3.0,-1.0,1.0,0.0,0.0,1.0
26,quirrel,07252016_quirrel,26.0,4.0,1.0,1.0,0.0,0.0,0.0
27,quirrel,07252016_quirrel,27.0,5.0,-1.0,1.0,0.0,0.0,0.0
28,quirrel,07252016_quirrel,28.0,6.0,-2.0,0.0,1.0,1.0,1.0
29,quirrel,07252016_quirrel,29.0,1.0,1.0,0.0,0.0,1.0,1.0
30,quirrel,07252016_quirrel,30.0,2.0,2.0,0.0,0.0,1.0,1.0
31,quirrel,07252016_quirrel,31.0,3.0,3.0,0.0,0.0,1.0,1.0
32,quirrel,07252016_quirrel,32.0,4.0,4.0,0.0,0.0,1.0,1.0
33,quirrel,07252016_quirrel,33.0,5.0,5.0,0.0,0.0,1.0,0.0
34,quirrel,07252016_quirrel,34.0,6.0,-1.0,0.0,0.0,1.0,1.0
35,quirrel,07252016_quirrel,35.0,7.0,1.0,0.0,0.0,1.0,0.0
36,quirrel,07252016_quirrel,36.0,8.0,-1.0,0.0,0.0,1.0,0.0
37,quirrel,07252016_quirrel,37.0,9.0,-2.0,1.0,1.0,0.0,0.0
38,quirrel,07252016_quirrel,38.0,1.0,-3.0,1.0,0.0,0.0,0.0
39,quirrel,07252016_quirrel,39.0,2.0,-4.0,0.0,1.0,1.0,1.0
40,quirrel,07252016_quirrel,40.0,1.0,1.0,0.0,0.0,1.0,1.0
41,quirrel,07252016_quirrel,41.0,2.0,2.0,0.0,0.0,1.0,0.0
42,quirrel,07252016_quirrel,42.0,3.0,-1.0,0.0,0.0,1.0,1.0
43,quirrel,07252016_quirrel,43.0,4.0,1.0,0.0,0.0,1.0,0.0
44,quirrel,07252016_quirrel,44.0,5.0,-1.0,0.0,0.0,1.0,0.0
45,quirrel,07252016_quirrel,45.0,6.0,-2.0,0.0,0.0,1.0,1.0
46,quirrel,07252016_quirrel,46.0,7.0,1.0,0.0,0.0,1.0,1.0
47,quirrel,07252016_quirrel,47.0,8.0,2.0,0.0,0.0,1.0,0.0
48,quirrel,07252016_quirrel,48.0,9.0,-1.0,0.0,0.0,1.0,1.0
49,quirrel,07252016_quirrel,49.0,10.0,1.0,0.0,0.0,1.0,1.0
50,quirrel,07252016_quirrel,50.0,11.0,2.0,0.0,0.0,1.0,1.0
51,quirrel,07252016_quirrel,51.0,12.0,3.0,0.0,0.0,1.0,1.0
52,quirrel,07252016_quirrel,52.0,13.0,4.0,0.0,0.0,1.0,1.0
53,quirrel,07252016_quirrel,53.0,14.0,5.0,0.0,0.0,1.0,1.0
54,quirrel,07252016_quirrel,54.0,15.0,6.0,0.0,0.0,1.0,1.0
55,quirrel,07252016_quirrel,55.0,16.0,7.0,0.0,0.0,1.0,0.0
56,quirrel,07252016_quirrel,56.0,17.0,-1.0,0.0,0.0,1.0,0.0
57,quirrel,07252016_quirrel,57.0,18.0,-2.0,0.0,0.0,1.0,0.0
58,quirrel,07252016_quirrel,58.0,19.0,-3.0,0.0,0.0,1.0,1.0
59,quirrel,07252016_quirrel,59.0,20.0,1.0,0.0,0.0,1.0,1.0
60,quirrel,07252016_quirrel,60.0,21.0,2.0,0.0,0.0,1.0,0.0
61,quirrel,07252016_quirrel,61.0,22.0,-1.0,0.0,0.0,1.0,1.0
62,quirrel,07252016_quirrel,62.0,23.0,1.0,0.0,0.0,1.0,1.0
63,quirrel,07252016_quirrel,63.0,24.0,2.0,0.0,0.0,1.0,1.0
64,quirrel,07252016_quirrel,64.0,25.0,3.0,0.0,0.0,1.0,1.0
65,quirrel,07252016_quirrel,65.0,26.0,4.0,0.0,0.0,1.0,1.0
66,quirrel,07252016_quirrel,66.0,27.0,5.0,0.0,0.0,1.0,1.0
67,quirrel,07252016_quirrel,67.0,28.0,6.0,0.0,0.0,1.0,1.0
68,quirrel,07252016_quirrel,68.0,29.0,7.0,0.0,0.0,1.0,1.0
69,quirrel,07252016_quirrel,69.0,30.0,8.0,0.0,0.0,1.0,1.0
70,quirrel,07252016_quirrel,70.0,31.0,9.0,0.0,0.0,1.0,0.0
71,quirrel,07252016_quirrel,71.0,32.0,-1.0,0.0,0.0,1.0,0.0
72,quirrel,07252016_quirrel,72.0,33.0,-2.0,0.0,0.0,1.0,1.0
73,quirrel,07252016_quirrel,73.0,34.0,1.0,0.0,0.0,1.0,0.0
74,quirrel,07252016_quirrel,74.0,35.0,-1.0,0.0,0.0,1.0,1.0
75,quirrel,07252016_quirrel,75.0,36.0,1.0,0.0,0.0,1.0,1.0
76,quirrel,07252016_quirrel,76.0,37.0,2.0,0.0,0.0,1.0,1.0
77,quirrel,07252016_quirrel,77.0,38.0,3.0,0.0,0.0,1.0,1.0
78,quirrel,07252016_quirrel,78.0,39.0,4.0,0.0,0.0,1.0,0.0
79,quirrel,07252016_quirrel,79.0,40.0,-1.0,0.0,0.0,1.0,0.0
80,quirrel,07252016_quirrel,80.0,41.0,-2.0,0.0,0.0,1.0,1.0
81,quirrel,07252016_quirrel,81.0,42.0,1.0,0.0,0.0,1.0,1.0
82,quirrel,07252016_quirrel,82.0,43.0,2.0,0.0,0.0,1.0,1.0
83,quirrel,07252016_quirrel,83.0,44.0,3.0,0.0,0.0,1.0,1.0
84,quirrel,07252016_quirrel,84.0,45.0,4.0,0.0,0.0,1.0,1.0
85,quirrel,07252016_quirrel,85.0,46.0,5.0,0.0,0.0,1.0,1.0
86,quirrel,07252016_quirrel,0.0,47.0,6.0,0.0,0.0,0.0,0.0
87,quirrel,07252016_quirrel,1.0,48.0,-1.0,0.0,0.0,0.0,1.0
88,quirrel,07252016_quirrel,2.0,49.0,1.0,0.0,0.0,0.0,1.0
89,quirrel,07252016_quirrel,3.0,50.0,2.0,0.0,0.0,0.0,1.0
90,quirrel,07252016_quirrel,4.0,51.0,3.0,0.0,0.0,0.0,0.0
91,quirrel,07252016_quirrel,5.0,52.0,-1.0,0.0,0.0,0.0,1.0
92,quirrel,07252016_quirrel,6.0,53.0,1.0,0.0,0.0,0.0,0.0
93,quirrel,07252016_quirrel,7.0,54.0,-1.0,0.0,0.0,0.0,0.0
94,quirrel,07252016_quirrel,8.0,55.0,-2.0,0.0,0.0,0.0,1.0
95,quirrel,07252016_quirrel,9.0,56.0,1.0,0.0,0.0,0.0,0.0
96,quirrel,07252016_quirrel,10.0,57.0,-1.0,0.0,0.0,0.0,0.0
97,quirrel,07252016_quirrel,11.0,58.0,-2.0,0.0,0.0,0.0,0.0
98,quirrel,07252016_quirrel,12.0,59.0,-3.0,0.0,0.0,0.0,0.0
99,quirrel,07252016_quirrel,13.0,60.0,-4.0,0.0,0.0,0.0,1.0
100,quirrel,07252016_quirrel,14.0,61.0,1.0,0.0,0.0,0.0,0.0
101,quirrel,07252016_quirrel,15.0,62.0,-1.0,1.0,1.0,1.0,1.0
102,quirrel,07252016_quirrel,16.0,1.0,1.0,1.0,0.0,1.0,1.0
103,quirrel,07252016_quirrel,17.0,2.0,2.0,1.0,0.0,1.0,0.0
104,quirrel,07252016_quirrel,18.0,3.0,-1.0,1.0,0.0,1.0,0.0
105,quirrel,07252016_quirrel,19.0,4.0,-2.0,1.0,0.0,1.0,0.0
106,quirrel,07252016_quirrel,20.0,5.0,-3.0,0.0,1.0,0.0,0.0
107,quirrel,07252016_quirrel,21.0,1.0,-4.0,1.0,1.0,1.0,1.0
108,quirrel,07252016_quirrel,22.0,1.0,1.0,1.0,0.0,1.0,0.0
109,quirrel,07252016_quirrel,23.0,2.0,-1.0,1.0,0.0,1.0,0.0
110,quirrel,07252016_quirrel,24.0,3.0,-2.0,0.0,1.0,0.0,0.0
111,quirrel,07252016_quirrel,25.0,1.0,-3.0,0.0,0.0,0.0,1.0
112,quirrel,07252016_quirrel,26.0,2.0,1.0,0.0,0.0,0.0,1.0
113,quirrel,07252016_quirrel,27.0,3.0,2.0,0.0,0.0,0.0,1.0
114,quirrel,07252016_quirrel,28.0,4.0,3.0,0.0,0.0,0.0,0.0
115,quirrel,07252016_quirrel,29.0,5.0,-1.0,0.0,0.0,0.0,0.0
116,quirrel,07252016_quirrel,30.0,6.0,-2.0,0.0,0.0,0.0,0.0
117,quirrel,07252016_quirrel,31.0,7.0,-3.0,0.0,0.0,0.0,0.0
118,quirrel,07252016_quirrel,32.0,8.0,-4.0,0.0,0.0,0.0,0.0
119,quirrel,07252016_quirrel,33.0,9.0,-5.0,1.0,1.0,1.0,1.0
120,quirrel,07252016_quirrel,34.0,1.0,1.0,1.0,0.0,1.0,0.0
121,quirrel,07252016_quirrel,35.0,2.0,-1.0,1.0,0.0,1.0,1.0
122,quirrel,07252016_quirrel,36.0,3.0,1.0,1.0,0.0,1.0,0.0
