,Mouse ID,Session ID,Block Trial,Port Streak,Reward Streak,Decision,Switch,Higher p port,Reward
0,volde,08032016_volde,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,volde,08032016_volde,1.0,1.0,-1.0,1.0,0.0,0.0,0.0
2,volde,08032016_volde,2.0,2.0,-2.0,1.0,0.0,0.0,0.0
3,volde,08032016_volde,3.0,3.0,-3.0,0.0,1.0,1.0,1.0
4,volde,08032016_volde,4.0,1.0,1.0,0.0,0.0,1.0,1.0
5,volde,08032016_volde,5.0,2.0,2.0,0.0,0.0,1.0,1.0
6,volde,08032016_volde,6.0,3.0,3.0,0.0,0.0,1.0,1.0
7,volde,08032016_volde,7.0,4.0,4.0,0.0,0.0,1.0,1.0
8,volde,08032016_volde,8.0,5.0,5.0,0.0,0.0,1.0,1.0
9,volde,08032016_volde,9.0,6.0,6.0,0.0,0.0,1.0,1.0
10,volde,08032016_volde,10.0,7.0,7.0,0.0,0.0,1.0,1.0
11,volde,08032016_volde,11.0,8.0,8.0,0.0,0.0,1.0,1.0
12,volde,08032016_volde,12.0,9.0,9.0,0.0,0.0,1.0,1.0
13,volde,08032016_volde,13.0,10.0,10.0,0.0,0.0,1.0,1.0
14,volde,08032016_volde,14.0,11.0,11.0,0.0,0.0,1.0,1.0
15,volde,08032016_volde,15.0,12.0,12.0,0.0,0.0,1.0,1.0
16,volde,08032016_volde,16.0,13.0,13.0,0.0,0.0,1.0,1.0
17,volde,08032016_volde,17.0,14.0,14.0,0.0,0.0,1.0,1.0
18,volde,08032016_volde,18.0,15.0,15.0,0.0,0.0,1.0,1.0
19,volde,08032016_volde,19.0,16.0,16.0,0.0,0.0,1.0,1.0
20,volde,08032016_volde,20.0,17.0,17.0,0.0,0.0,1.0,1.0
21,volde,08032016_volde,21.0,18.0,18.0,0.0,0.0,1.0,1.0
22,volde,08032016_volde,22.0,19.0,19.0,0.0,0.0,1.0,1.0
23,volde,08032016_volde,23.0,20.0,20.0,0.0,0.0,1.0,1.0
24,volde,08032016_volde,24.0,21.0,21.0,0.0,0.0,1.0,1.0
25,volde,08032016_volde,25.0,22.0,22.0,0.0,0.0,1.0,1.0
26,volde,08032016_volde,26.0,23.0,23.0,0.0,0.0,1.0,1.0
27,volde,08032016_volde,27.0,24.0,24.0,0.0,0.0,1.0,1.0
28,volde,08032016_volde,28.0,25.0,25.0,0.0,0.0,1.0,1.0
29,volde,08032016_volde,29.0,26.0,26.0,0.0,0.0,1.0,1.0
30,volde,08032016_volde,30.0,27.0,27.0,0.0,0.0,1.0,1.0
31,volde,08032016_volde,31.0,28.0,28.0,0.0,0.0,1.0,1.0
32,volde,08032016_volde,32.0,29.0,29.0,0.0,0.0,1.0,1.0
33,volde,08032016_volde,33.0,30.0,30.0,0.0,0.0,1.0,1.0
34,volde,08032016_volde,34.0,31.0,31.0,0.0,0.0,1.0,1.0
35,volde,08032016_volde,35.0,32.0,32.0,0.0,0.0,1.0,1.0
36,volde,08032016_volde,36.0,33.0,33.0,0.0,0.0,1.0,1.0
37,volde,08032016_volde,37.0,34.0,34.0,0.0,0.0,1.0,1.0
38,volde,08032016_volde,38.0,35.0,35.0,0.0,0.0,1.0,1.0
39,volde,08032016_volde,39.0,36.0,36.0,0.0,0.0,1.0,1.0
40,volde,08032016_volde,40.0,37.0,37.0,0.0,0.0,1.0,1.0
41,volde,08032016_volde,41.0,38.0,38.0,0.0,0.0,1.0,1.0
42,volde,08032016_volde,42.0,39.0,39.0,1.0,1.0,0.0,0.0
43,volde,08032016_volde,43.0,1.0,-1.0,0.0,1.0,1.0,1.0
44,volde,08032016_volde,44.0,1.0,1.0,0.0,0.0,1.0,1.0
45,volde,08032016_volde,45.0,2.0,2.0,0.0,0.0,1.0,1.0
46,volde,08032016_volde,46.0,3.0,3.0,0.0,0.0,1.0,1.0
47,volde,08032016_volde,47.0,4.0,4.0,0.0,0.0,1.0,1.0
48,volde,08032016_volde,48.0,5.0,5.0,0.0,0.0,1.0,1.0
49,volde,08032016_volde,49.0,6.0,6.0,0.0,0.0,1.0,1.0
50,volde,08032016_volde,50.0,7.0,7.0,0.0,0.0,1.0,1.0
51,volde,08032016_volde,51.0,8.0,8.0,0.0,0.0,1.0,1.0
52,volde,08032016_volde,52.0,9.0,9.0,0.0,0.0,1.0,1.0
53,volde,08032016_volde,53.0,10.0,10.0,0.0,0.0,1.0,1.0
54,volde,08032016_volde,54.0,11.0,11.0,0.0,0.0,1.0,1.0
55,volde,08032016_volde,0.0,12.0,12.0,0.0,0.0,1.0,1.0
56,volde,08032016_volde,1.0,13.0,13.0,0.0,0.0,1.0,1.0
57,volde,08032016_volde,2.0,14.0,14.0,1.0,1.0,0.0,0.0
58,volde,08032016_volde,3.0,1.0,-1.0,0.0,1.0,1.0,1.0
59,volde,08032016_volde,4.0,1.0,1.0,0.0,0.0,1.0,1.0
60,volde,08032016_volde,5.0,2.0,2.0,0.0,0.0,1.0,1.0
61,volde,08032016_volde,6.0,3.0,3.0,0.0,0.0,1.0,1.0
62,volde,08032016_volde,7.0,4.0,4.0,0.0,0.0,1.0,1.0
63,volde,08032016_volde,8.0,5.0,5.0,0.0,0.0,1.0,1.0
64,volde,08032016_volde,9.0,6.0,6.0,0.0,0.0,1.0,1.0
65,volde,08032016_volde,10.0,7.0,7.0,0.0,0.0,1.0,0.0
66,volde,08032016_volde,11.0,8.0,-1.0,1.0,1.0,0.0,1.0
67,volde,08032016_volde,12.0,1.0,1.0,1.0,0.0,0.0,0.0
68,volde,08032016_volde,13.0,2.0,-1.0,1.0,0.0,0.0,1.0
69,volde,08032016_volde,14.0,3.0,1.0,1.0,0.0,0.0,1.0
70,volde,08032016_volde,15.0,4.0,2.0,1.0,0.0,0.0,0.0
71,volde,08032016_volde,16.0,5.0,-1.0,1.0,0.0,0.0,1.0
72,volde,08032016_volde,17.0,6.0,1.0,1.0,0.0,0.0,1.0
73,volde,08032016_volde,18.0,7.0,2.0,1.0,0.0,0.0,1.0
74,volde,08032016_volde,19.0,8.0,3.0,1.0,0.0,0.0,0.0
75,volde,08032016_volde,20.0,9.0,-1.0,1.0,0.0,0.0,1.0
76,volde,08032016_volde,21.0,10.0,1.0,1.0,0.0,0.0,0.0
77,volde,08032016_volde,22.0,11.0,-1.0,1.0,0.0,0.0,0.0
78,volde,08032016_volde,23.0,12.0,-2.0,1.0,0.0,0.0,1.0
79,volde,08032016_volde,24.0,13.0,1.0,1.0,0.0,0.0,1.0
80,volde,08032016_volde,25.0,14.0,2.0,1.0,0.0,0.0,1.0
81,volde,08032016_volde,26.0,15.0,3.0,1.0,0.0,0.0,0.0
82,volde,08032016_volde,27.0,16.0,-1.0,0.0,1.0,1.0,1.0
83,volde,08032016_volde,28.0,1.0,1.0,0.0,0.0,1.0,0.0
84,volde,08032016_volde,29.0,2.0,-1.0,0.0,0.0,1.0,1.0
85,volde,08032016_volde,30.0,3.0,1.0,0.0,0.0,1.0,1.0
86,volde,08032016_volde,31.0,4.0,2.0,0.0,0.0,1.0,0.0
87,volde,08032016_volde,32.0,5.0,-1.0,0.0,0.0,1.0,1.0
88,volde,08032016_volde,33.0,6.0,1.0,0.0,0.0,1.0,1.0
89,volde,08032016_volde,34.0,7.0,2.0,0.0,0.0,1.0,1.0
90,volde,08032016_volde,35.0,8.0,3.0,0.0,0.0,1.0,0.0
91,volde,08032016_volde,36.0,9.0,-1.0,0.0,0.0,1.0,1.0
92,volde,08032016_volde,37.0,10.0,1.0,0.0,0.0,1.0,1.0
93,volde,08032016_volde,38.0,11.0,2.0,0.0,0.0,1.0,1.0
94,volde,08032016_volde,39.0,12.0,3.0,0.0,0.0,1.0,1.0
95,volde,08032016_volde,40.0,13.0,4.0,0.0,0.0,1.0,1.0
96,volde,08032016_volde,41.0,14.0,5.0,0.0,0.0,1.0,1.0
97,volde,08032016_volde,42.0,15.0,6.0,0.0,0.0,1.0,1.0
98,volde,08032016_volde,43.0,16.0,7.0,0.0,0.0,1.0,1.0
99,volde,08032016_volde,44.0,17.0,8.0,0.0,0.0,1.0,1.0
100,volde,08032016_volde,45.0,18.0,9.0,0.0,0.0,1.0,1.0
101,volde,08032016_volde,46.0,19.0,10.0,0.0,0.0,1.0,1.0
102,volde,08032016_volde,47.0,20.0,11.0,0.0,0.0,1.0,1.0
103,volde,08032016_volde,48.0,21.0,12.0,0.0,0.0,1.0,1.0
104,volde,08032016_volde,49.0,22.0,13.0,0.0,0.0,1.0,1.0
105,volde,08032016_volde,50.0,23.0,14.0,0.0,0.0,1.0,1.0
106,volde,08032016_volde,51.0,24.0,15.0,0.0,0.0,1.0,1.0
107,volde,08032016_volde,0.0,25.0,16.0,0.0,0.0,0.0,0.0
108,volde,08032016_volde,1.0,26.0,-1.0,0.0,0.0,0.0,0.0
109,volde,08032016_volde,2.0,27.0,-2.0,1.0,1.0,1.0,1.0
110,volde,08032016_volde,3.0,1.0,1.0,1.0,0.0,1.0,1.0
111,volde,08032016_volde,4.0,2.0,2.0,1.0,0.0,1.0,1.0
112,volde,08032016_volde,5.0,3.0,3.0,1.0,0.0,1.0,0.0
113,volde,08032016_volde,6.0,4.0,-1.0,1.0,0.0,1.0,0.0
114,volde,08032016_volde,7.0,5.0,-2.0,0.0,1.0,0.0,0.0
115,volde,08032016_volde,8.0,1.0,-3.0,0.0,0.0,0.0,1.0
116,volde,08032016_volde,9.0,2.0,1.0,1.0,1.0,1.0,1.0
117,volde,08032016_volde,10.0,1.0,2.0,1.0,0.0,1.0,0.0
118,volde,08032016_volde,11.0,2.0,-1.0,1.0,0.0,1.0,1.0
119,volde,08032016_volde,12.0,3.0,1.0,1.0,0.0,1.0,1.0
120,volde,08032016_volde,13.0,4.0,2.0,1.0,0.0,1.0,0.0
121,volde,08032016_volde,14.0,5.0,-1.0,1.0,0.0,1.0,0.0
122,volde,08032016_volde,15.0,6.0,-2.0,0.0,1.0,0.0,0.0
123,volde,08032016_volde,16.0,1.0,-3.0,1.0,1.0,1.0,0.0
124,volde,08032016_volde,17.0,1.0,-4.0,1.0,0.0,1.0,0.0
125,volde,08032016_volde,18.0,2.0,-5.0,1.0,0.0,1.0,1.0
126,volde,08032016_volde,19.0,3.0,1.0,1.0,0.0,1.0,0.0
127,volde,08032016_volde,20.0,4.0,-1.0,1.0,0.0,1.0,1.0
128,volde,08032016_volde,21.0,5.0,1.0,1.0,0.0,1.0,0.0
129,volde,08032016_volde,22.0,6.0,-1.0,1.0,0.0,1.0,0.0
130,volde,08032016_volde,23.0,7.0,-2.0,1.0,0.0,1.0,1.0
131,volde,08032016_volde,24.0,8.0,1.0,1.0,0.0,1.0,1.0
132,volde,08032016_volde,25.0,9.0,2.0,1.0,0.0,1.0,0.0
133,volde,08032016_volde,26.0,10.0,-1.0,1.0,0.0,1.0,1.0
134,volde,08032016_volde,27.0,11.0,1.0,1.0,0.0,1.0,1.0
135,volde,08032016_volde,28.0,12.0,2.0,1.0,0.0,1.0,0.0
136,volde,08032016_volde,29.0,13.0,-1.0,1.0,0.0,1.0,1.0
137,volde,08032016_volde,30.0,14.0,1.0,1.0,0.0,1.0,0.0
138,volde,08032016_volde,31.0,15.0,-1.0,1.0,0.0,1.0,1.0
139,volde,08032016_volde,32.0,16.0,1.0,1.0,0.0,1.0,1.0
140,volde,08032016_volde,33.0,17.0,2.0,1.0,0.0,1.0,1.0
141,volde,08032016_volde,34.0,18.0,3.0,1.0,0.0,1.0,1.0
142,volde,08032016_volde,35.0,19.0,4.0,1.0,0.0,1.0,1.0
143,volde,08032016_volde,36.0,20.0,5.0,1.0,0.0,1.0,1.0
144,volde,08032016_volde,37.0,21.0,6.0,1.0,0.0,1.0,0.0
145,volde,08032016_volde,38.0,22.0,-1.0,1.0,0.0,1.0,1.0
146,volde,08032016_volde,39.0,23.0,1.0,1.0,0.0,1.0,0.0
147,volde,08032016_volde,40.0,24.0,-1.0,1.0,0.0,1.0,1.0
148,volde,08032016_volde,41.0,25.0,1.0,1.0,0.0,1.0,0.0
149,volde,08032016_volde,42.0,26.0,-1.0,1.0,0.0,1.0,1.0
150,volde,08032016_volde,43.0,27.0,1.0,1.0,0.0,1.0,0.0
151,volde,08032016_volde,44.0,28.0,-1.0,1.0,0.0,1.0,0.0
152,volde,08032016_volde,45.0,29.0,-2.0,1.0,0.0,1.0,1.0
153,volde,08032016_volde,46.0,30.0,1.0,1.0,0.0,1.0,1.0
154,volde,08032016_volde,47.0,31.0,2.0,1.0,0.0,1.0,0.0
155,volde,08032016_volde,48.0,32.0,-1.0,1.0,0.0,1.0,0.0
156,volde,08032016_volde,49.0,33.0,-2.0,1.0,0.0,1.0,0.0
157,volde,08032016_volde,50.0,34.0,-3.0,1.0,0.0,1.0,0.0
158,volde,08032016_volde,51.0,35.0,-4.0,0.0,1.0,0.0,0.0
159,volde,08032016_volde,52.0,1.0,-5.0,1.0,1.0,1.0,0.0
160,volde,08032016_volde,53.0,1.0,-6.0,1.0,0.0,1.0,1.0
161,volde,08032016_volde,54.0,2.0,1.0,1.0,0.0,1.0,1.0
162,volde,08032016_volde,55.0,3.0,2.0,1.0,0.0,1.0,0.0
163,volde,08032016_volde,56.0,4.0,-1.0,1.0,0.0,1.0,1.0
164,volde,08032016_volde,57.0,5.0,1.0,1.0,0.0,1.0,1.0
165,volde,08032016_volde,58.0,6.0,2.0,1.0,0.0,1.0,0.0
166,volde,08032016_volde,59.0,7.0,-1.0,1.0,0.0,1.0,1.0
167,volde,08032016_volde,60.0,8.0,1.0,1.0,0.0,1.0,1.0
168,volde,08032016_volde,61.0,9.0,2.0,1.0,0.0,1.0,1.0
169,volde,08032016_volde,62.0,10.0,3.0,1.0,0.0,1.0,0.0
170,volde,08032016_volde,63.0,11.0,-1.0,1.0,0.0,1.0,1.0
171,volde,08032016_volde,64.0,12.0,1.0,1.0,0.0,1.0,0.0
172,volde,08032016_volde,65.0,13.0,-1.0,1.0,0.0,1.0,0.0
173,volde,08032016_volde,66.0,14.0,-2.0,1.0,0.0,1.0,0.0
174,volde,08032016_volde,67.0,15.0,-3.0,0.0,1.0,0.0,0.0
175,volde,08032016_volde,68.0,1.0,-4.0,1.0,1.0,1.0,0.0
176,volde,08032016_volde,69.0,1.0,-5.0,1.0,0.0,1.0,0.0
177,volde,08032016_volde,70.0,2.0,-6.0,1.0,0.0,1.0,0.0
178,volde,08032016_volde,71.0,3.0,-7.0,1.0,0.0,1.0,0.0
179,volde,08032016_volde,72.0,4.0,-8.0,0.0,1.0,0.0,0.0
180,volde,08032016_volde,73.0,1.0,-9.0,0.0,0.0,0.0,0.0
181,volde,08032016_volde,74.0,2.0,-10.0,0.0,0.0,0.0,0.0
182,volde,08032016_volde,75.0,3.0,-11.0,0.0,0.0,0.0,0.0
