,Previous_10_Left_Choice,Previous_10_Right_Choice,Previous_10_Left_Reward,Previous_10_Right_Reward,Streak,5_Port,5_Reward,5_ITI,5_trialDuration,4_Port,4_Reward,4_ITI,4_trialDuration,3_Port,3_Reward,3_ITI,3_trialDuration,2_Port,2_Reward,2_ITI,2_trialDuration,1_Port,1_Reward,1_ITI,1_trialDuration,0_ITI,0_trialDuration,Decision
0,10.0,0.0,8.0,0.0,4.0,1.0,0.0,2.6210000000000004,0.435,1.0,1.0,1.504,0.43200000000000005,1.0,1.0,2.742,0.426,1.0,1.0,1.163,0.539,1.0,1.0,2.353,0.447,2.377,0.41200000000000003,1.0
1,10.0,0.0,8.0,0.0,-1.0,1.0,1.0,1.504,0.43200000000000005,1.0,1.0,2.742,0.426,1.0,1.0,1.163,0.539,1.0,1.0,2.353,0.447,1.0,0.0,2.377,0.41200000000000003,2.188,0.523,0.0
2,9.0,1.0,7.0,1.0,1.0,1.0,1.0,2.742,0.426,1.0,1.0,1.163,0.539,1.0,1.0,2.353,0.447,1.0,0.0,2.377,0.41200000000000003,0.0,1.0,2.188,0.523,1.7369999999999999,0.35100000000000003,0.0
3,8.0,2.0,6.0,1.0,-1.0,1.0,1.0,1.163,0.539,1.0,1.0,2.353,0.447,1.0,0.0,2.377,0.41200000000000003,0.0,1.0,2.188,0.523,0.0,0.0,1.7369999999999999,0.35100000000000003,1.079,0.8140000000000001,1.0
4,8.0,2.0,6.0,1.0,1.0,1.0,1.0,2.353,0.447,1.0,0.0,2.377,0.41200000000000003,0.0,1.0,2.188,0.523,0.0,0.0,1.7369999999999999,0.35100000000000003,1.0,1.0,1.079,0.8140000000000001,2.71,0.535,1.0
5,8.0,2.0,6.0,1.0,2.0,1.0,0.0,2.377,0.41200000000000003,0.0,1.0,2.188,0.523,0.0,0.0,1.7369999999999999,0.35100000000000003,1.0,1.0,1.079,0.8140000000000001,1.0,1.0,2.71,0.535,1.264,0.44799999999999995,1.0
6,8.0,2.0,7.0,1.0,3.0,0.0,1.0,2.188,0.523,0.0,0.0,1.7369999999999999,0.35100000000000003,1.0,1.0,1.079,0.8140000000000001,1.0,1.0,2.71,0.535,1.0,1.0,1.264,0.44799999999999995,1.7169999999999999,0.387,1.0
7,8.0,2.0,7.0,1.0,4.0,0.0,0.0,1.7369999999999999,0.35100000000000003,1.0,1.0,1.079,0.8140000000000001,1.0,1.0,2.71,0.535,1.0,1.0,1.264,0.44799999999999995,1.0,1.0,1.7169999999999999,0.387,2.698,0.499,1.0
8,8.0,2.0,7.0,1.0,5.0,1.0,1.0,1.079,0.8140000000000001,1.0,1.0,2.71,0.535,1.0,1.0,1.264,0.44799999999999995,1.0,1.0,1.7169999999999999,0.387,1.0,1.0,2.698,0.499,3.431,0.326,1.0
9,8.0,2.0,6.0,1.0,-1.0,1.0,1.0,2.71,0.535,1.0,1.0,1.264,0.44799999999999995,1.0,1.0,1.7169999999999999,0.387,1.0,1.0,2.698,0.499,1.0,0.0,3.431,0.326,1.8869999999999998,0.41200000000000003,1.0
10,8.0,2.0,6.0,1.0,1.0,1.0,1.0,1.264,0.44799999999999995,1.0,1.0,1.7169999999999999,0.387,1.0,1.0,2.698,0.499,1.0,0.0,3.431,0.326,1.0,1.0,1.8869999999999998,0.41200000000000003,4.12,0.345,1.0
11,8.0,2.0,7.0,1.0,2.0,1.0,1.0,1.7169999999999999,0.387,1.0,1.0,2.698,0.499,1.0,0.0,3.431,0.326,1.0,1.0,1.8869999999999998,0.41200000000000003,1.0,1.0,4.12,0.345,4.243,0.425,1.0
12,9.0,1.0,8.0,0.0,3.0,1.0,1.0,2.698,0.499,1.0,0.0,3.431,0.326,1.0,1.0,1.8869999999999998,0.41200000000000003,1.0,1.0,4.12,0.345,1.0,1.0,4.243,0.425,2.474,0.336,1.0
13,10.0,0.0,9.0,0.0,4.0,1.0,0.0,3.431,0.326,1.0,1.0,1.8869999999999998,0.41200000000000003,1.0,1.0,4.12,0.345,1.0,1.0,4.243,0.425,1.0,1.0,2.474,0.336,2.832,0.337,1.0
14,10.0,0.0,9.0,0.0,5.0,1.0,1.0,1.8869999999999998,0.41200000000000003,1.0,1.0,4.12,0.345,1.0,1.0,4.243,0.425,1.0,1.0,2.474,0.336,1.0,1.0,2.832,0.337,3.272,0.452,1.0
15,10.0,0.0,8.0,0.0,-1.0,1.0,1.0,4.12,0.345,1.0,1.0,4.243,0.425,1.0,1.0,2.474,0.336,1.0,1.0,2.832,0.337,1.0,0.0,3.272,0.452,8.422,0.466,1.0
16,10.0,0.0,7.0,0.0,-2.0,1.0,1.0,4.243,0.425,1.0,1.0,2.474,0.336,1.0,1.0,2.832,0.337,1.0,0.0,3.272,0.452,1.0,0.0,8.422,0.466,1.36,0.5,0.0
17,9.0,1.0,6.0,0.0,-3.0,1.0,1.0,2.474,0.336,1.0,1.0,2.832,0.337,1.0,0.0,3.272,0.452,1.0,0.0,8.422,0.466,0.0,0.0,1.36,0.5,2.145,0.40399999999999997,1.0
18,9.0,1.0,5.0,0.0,-4.0,1.0,1.0,2.832,0.337,1.0,0.0,3.272,0.452,1.0,0.0,8.422,0.466,0.0,0.0,1.36,0.5,1.0,0.0,2.145,0.40399999999999997,1.2790000000000001,0.593,0.0
19,8.0,2.0,5.0,1.0,1.0,1.0,0.0,3.272,0.452,1.0,0.0,8.422,0.466,0.0,0.0,1.36,0.5,1.0,0.0,2.145,0.40399999999999997,0.0,1.0,1.2790000000000001,0.593,1.92,0.396,0.0
20,7.0,3.0,4.0,1.0,-1.0,1.0,0.0,8.422,0.466,0.0,0.0,1.36,0.5,1.0,0.0,2.145,0.40399999999999997,0.0,1.0,1.2790000000000001,0.593,0.0,0.0,1.92,0.396,8.628,0.48200000000000004,0.0
21,6.0,4.0,3.0,1.0,-2.0,0.0,0.0,1.36,0.5,1.0,0.0,2.145,0.40399999999999997,0.0,1.0,1.2790000000000001,0.593,0.0,0.0,1.92,0.396,0.0,0.0,8.628,0.48200000000000004,9.568999999999999,0.361,1.0
22,6.0,4.0,3.0,1.0,1.0,1.0,0.0,2.145,0.40399999999999997,0.0,1.0,1.2790000000000001,0.593,0.0,0.0,1.92,0.396,0.0,0.0,8.628,0.48200000000000004,1.0,1.0,9.568999999999999,0.361,2.041,0.359,1.0
23,6.0,4.0,3.0,1.0,2.0,0.0,1.0,1.2790000000000001,0.593,0.0,0.0,1.92,0.396,0.0,0.0,8.628,0.48200000000000004,1.0,1.0,9.568999999999999,0.361,1.0,1.0,2.041,0.359,2.2680000000000002,0.35200000000000004,1.0
24,6.0,4.0,3.0,1.0,3.0,0.0,0.0,1.92,0.396,0.0,0.0,8.628,0.48200000000000004,1.0,1.0,9.568999999999999,0.361,1.0,1.0,2.041,0.359,1.0,1.0,2.2680000000000002,0.35200000000000004,2.344,0.395,1.0
25,6.0,4.0,4.0,1.0,4.0,0.0,0.0,8.628,0.48200000000000004,1.0,1.0,9.568999999999999,0.361,1.0,1.0,2.041,0.359,1.0,1.0,2.2680000000000002,0.35200000000000004,1.0,1.0,2.344,0.395,2.719,0.373,1.0
26,6.0,4.0,4.0,1.0,-1.0,1.0,1.0,9.568999999999999,0.361,1.0,1.0,2.041,0.359,1.0,1.0,2.2680000000000002,0.35200000000000004,1.0,1.0,2.344,0.395,1.0,0.0,2.719,0.373,1.472,0.32799999999999996,1.0
