,Mouse ID,Session ID,Block Trial,Port Streak,Reward Streak,Decision,Switch,Higher p port,Reward
0,hmm_9010_greedy,02272017_1,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,hmm_9010_greedy,02272017_1,1.0,1.0,-1.0,1.0,1.0,0.0,0.0
2,hmm_9010_greedy,02272017_1,2.0,1.0,-2.0,0.0,1.0,1.0,1.0
3,hmm_9010_greedy,02272017_1,3.0,1.0,1.0,0.0,0.0,1.0,1.0
4,hmm_9010_greedy,02272017_1,4.0,2.0,2.0,0.0,0.0,1.0,1.0
5,hmm_9010_greedy,02272017_1,5.0,3.0,3.0,0.0,0.0,1.0,1.0
6,hmm_9010_greedy,02272017_1,6.0,4.0,4.0,0.0,0.0,1.0,1.0
7,hmm_9010_greedy,02272017_1,7.0,5.0,5.0,0.0,0.0,1.0,1.0
8,hmm_9010_greedy,02272017_1,8.0,6.0,6.0,0.0,0.0,1.0,1.0
9,hmm_9010_greedy,02272017_1,9.0,7.0,7.0,0.0,0.0,1.0,1.0
10,hmm_9010_greedy,02272017_1,10.0,8.0,8.0,0.0,0.0,1.0,1.0
11,hmm_9010_greedy,02272017_1,11.0,9.0,9.0,0.0,0.0,1.0,1.0
12,hmm_9010_greedy,02272017_1,12.0,10.0,10.0,0.0,0.0,1.0,1.0
13,hmm_9010_greedy,02272017_1,13.0,11.0,11.0,0.0,0.0,1.0,1.0
14,hmm_9010_greedy,02272017_1,14.0,12.0,12.0,0.0,0.0,1.0,1.0
15,hmm_9010_greedy,02272017_1,15.0,13.0,13.0,0.0,0.0,1.0,1.0
16,hmm_9010_greedy,02272017_1,16.0,14.0,14.0,0.0,0.0,1.0,1.0
17,hmm_9010_greedy,02272017_1,17.0,15.0,15.0,0.0,0.0,1.0,1.0
18,hmm_9010_greedy,02272017_1,18.0,16.0,16.0,0.0,0.0,1.0,1.0
19,hmm_9010_greedy,02272017_1,19.0,17.0,17.0,0.0,0.0,1.0,1.0
20,hmm_9010_greedy,02272017_1,20.0,18.0,18.0,0.0,0.0,1.0,1.0
21,hmm_9010_greedy,02272017_1,21.0,19.0,19.0,0.0,0.0,1.0,1.0
22,hmm_9010_greedy,02272017_1,22.0,20.0,20.0,0.0,0.0,1.0,1.0
23,hmm_9010_greedy,02272017_1,23.0,21.0,21.0,0.0,0.0,1.0,1.0
24,hmm_9010_greedy,02272017_1,24.0,22.0,22.0,0.0,0.0,1.0,1.0
25,hmm_9010_greedy,02272017_1,25.0,23.0,23.0,0.0,0.0,1.0,1.0
26,hmm_9010_greedy,02272017_1,26.0,24.0,24.0,0.0,0.0,1.0,1.0
27,hmm_9010_greedy,02272017_1,27.0,25.0,25.0,0.0,0.0,1.0,1.0
28,hmm_9010_greedy,02272017_1,28.0,26.0,26.0,0.0,0.0,1.0,1.0
29,hmm_9010_greedy,02272017_1,29.0,27.0,27.0,0.0,0.0,1.0,1.0
30,hmm_9010_greedy,02272017_1,30.0,28.0,28.0,0.0,0.0,1.0,1.0
31,hmm_9010_greedy,02272017_1,31.0,29.0,29.0,0.0,0.0,1.0,1.0
32,hmm_9010_greedy,02272017_1,32.0,30.0,30.0,0.0,0.0,1.0,1.0
33,hmm_9010_greedy,02272017_1,33.0,31.0,31.0,0.0,0.0,1.0,1.0
34,hmm_9010_greedy,02272017_1,34.0,32.0,32.0,0.0,0.0,1.0,0.0
35,hmm_9010_greedy,02272017_1,35.0,33.0,-1.0,0.0,0.0,1.0,1.0
36,hmm_9010_greedy,02272017_1,36.0,34.0,1.0,0.0,0.0,1.0,1.0
37,hmm_9010_greedy,02272017_1,37.0,35.0,2.0,0.0,0.0,1.0,1.0
38,hmm_9010_greedy,02272017_1,38.0,36.0,3.0,0.0,0.0,1.0,1.0
39,hmm_9010_greedy,02272017_1,39.0,37.0,4.0,0.0,0.0,1.0,1.0
40,hmm_9010_greedy,02272017_1,40.0,38.0,5.0,0.0,0.0,1.0,1.0
41,hmm_9010_greedy,02272017_1,41.0,39.0,6.0,0.0,0.0,1.0,1.0
42,hmm_9010_greedy,02272017_1,42.0,40.0,7.0,0.0,0.0,1.0,1.0
43,hmm_9010_greedy,02272017_1,43.0,41.0,8.0,0.0,0.0,1.0,1.0
44,hmm_9010_greedy,02272017_1,44.0,42.0,9.0,0.0,0.0,1.0,1.0
45,hmm_9010_greedy,02272017_1,45.0,43.0,10.0,0.0,0.0,1.0,1.0
46,hmm_9010_greedy,02272017_1,46.0,44.0,11.0,0.0,0.0,1.0,1.0
47,hmm_9010_greedy,02272017_1,47.0,45.0,12.0,0.0,0.0,1.0,1.0
48,hmm_9010_greedy,02272017_1,48.0,46.0,13.0,0.0,0.0,1.0,0.0
49,hmm_9010_greedy,02272017_1,49.0,47.0,-1.0,0.0,0.0,1.0,1.0
50,hmm_9010_greedy,02272017_1,50.0,48.0,1.0,0.0,0.0,1.0,1.0
51,hmm_9010_greedy,02272017_1,51.0,49.0,2.0,0.0,0.0,1.0,1.0
52,hmm_9010_greedy,02272017_1,52.0,50.0,3.0,0.0,0.0,1.0,1.0
53,hmm_9010_greedy,02272017_1,53.0,51.0,4.0,0.0,0.0,1.0,1.0
54,hmm_9010_greedy,02272017_1,54.0,52.0,5.0,0.0,0.0,1.0,1.0
55,hmm_9010_greedy,02272017_1,55.0,53.0,6.0,0.0,0.0,1.0,1.0
56,hmm_9010_greedy,02272017_1,56.0,54.0,7.0,0.0,0.0,1.0,1.0
57,hmm_9010_greedy,02272017_1,57.0,55.0,8.0,0.0,0.0,1.0,1.0
58,hmm_9010_greedy,02272017_1,58.0,56.0,9.0,0.0,0.0,1.0,1.0
59,hmm_9010_greedy,02272017_1,59.0,57.0,10.0,0.0,0.0,1.0,1.0
60,hmm_9010_greedy,02272017_1,0.0,58.0,11.0,0.0,0.0,0.0,0.0
61,hmm_9010_greedy,02272017_1,1.0,59.0,-1.0,0.0,0.0,0.0,0.0
62,hmm_9010_greedy,02272017_1,2.0,60.0,-2.0,1.0,1.0,1.0,1.0
63,hmm_9010_greedy,02272017_1,3.0,1.0,1.0,1.0,0.0,1.0,1.0
64,hmm_9010_greedy,02272017_1,4.0,2.0,2.0,1.0,0.0,1.0,1.0
65,hmm_9010_greedy,02272017_1,5.0,3.0,3.0,1.0,0.0,1.0,1.0
66,hmm_9010_greedy,02272017_1,6.0,4.0,4.0,1.0,0.0,1.0,1.0
67,hmm_9010_greedy,02272017_1,7.0,5.0,5.0,1.0,0.0,1.0,1.0
68,hmm_9010_greedy,02272017_1,8.0,6.0,6.0,1.0,0.0,1.0,1.0
69,hmm_9010_greedy,02272017_1,9.0,7.0,7.0,1.0,0.0,1.0,1.0
70,hmm_9010_greedy,02272017_1,10.0,8.0,8.0,1.0,0.0,1.0,1.0
71,hmm_9010_greedy,02272017_1,11.0,9.0,9.0,1.0,0.0,1.0,1.0
72,hmm_9010_greedy,02272017_1,12.0,10.0,10.0,1.0,0.0,1.0,1.0
73,hmm_9010_greedy,02272017_1,13.0,11.0,11.0,1.0,0.0,1.0,1.0
74,hmm_9010_greedy,02272017_1,14.0,12.0,12.0,1.0,0.0,1.0,1.0
75,hmm_9010_greedy,02272017_1,15.0,13.0,13.0,1.0,0.0,1.0,0.0
76,hmm_9010_greedy,02272017_1,16.0,14.0,-1.0,1.0,0.0,1.0,1.0
77,hmm_9010_greedy,02272017_1,17.0,15.0,1.0,1.0,0.0,1.0,1.0
78,hmm_9010_greedy,02272017_1,18.0,16.0,2.0,1.0,0.0,1.0,1.0
79,hmm_9010_greedy,02272017_1,19.0,17.0,3.0,1.0,0.0,1.0,0.0
80,hmm_9010_greedy,02272017_1,20.0,18.0,-1.0,1.0,0.0,1.0,1.0
81,hmm_9010_greedy,02272017_1,21.0,19.0,1.0,1.0,0.0,1.0,0.0
82,hmm_9010_greedy,02272017_1,22.0,20.0,-1.0,1.0,0.0,1.0,1.0
83,hmm_9010_greedy,02272017_1,23.0,21.0,1.0,1.0,0.0,1.0,0.0
84,hmm_9010_greedy,02272017_1,24.0,22.0,-1.0,1.0,0.0,1.0,1.0
85,hmm_9010_greedy,02272017_1,25.0,23.0,1.0,1.0,0.0,1.0,1.0
86,hmm_9010_greedy,02272017_1,26.0,24.0,2.0,1.0,0.0,1.0,1.0
87,hmm_9010_greedy,02272017_1,27.0,25.0,3.0,1.0,0.0,1.0,1.0
88,hmm_9010_greedy,02272017_1,28.0,26.0,4.0,1.0,0.0,1.0,1.0
89,hmm_9010_greedy,02272017_1,29.0,27.0,5.0,1.0,0.0,1.0,0.0
90,hmm_9010_greedy,02272017_1,30.0,28.0,-1.0,1.0,0.0,1.0,1.0
91,hmm_9010_greedy,02272017_1,31.0,29.0,1.0,1.0,0.0,1.0,1.0
92,hmm_9010_greedy,02272017_1,32.0,30.0,2.0,1.0,0.0,1.0,0.0
93,hmm_9010_greedy,02272017_1,33.0,31.0,-1.0,1.0,0.0,1.0,1.0
94,hmm_9010_greedy,02272017_1,34.0,32.0,1.0,1.0,0.0,1.0,1.0
95,hmm_9010_greedy,02272017_1,35.0,33.0,2.0,1.0,0.0,1.0,1.0
96,hmm_9010_greedy,02272017_1,36.0,34.0,3.0,1.0,0.0,1.0,1.0
97,hmm_9010_greedy,02272017_1,37.0,35.0,4.0,1.0,0.0,1.0,1.0
98,hmm_9010_greedy,02272017_1,38.0,36.0,5.0,1.0,0.0,1.0,1.0
99,hmm_9010_greedy,02272017_1,39.0,37.0,6.0,1.0,0.0,1.0,1.0
100,hmm_9010_greedy,02272017_1,40.0,38.0,7.0,1.0,0.0,1.0,1.0
101,hmm_9010_greedy,02272017_1,41.0,39.0,8.0,1.0,0.0,1.0,1.0
102,hmm_9010_greedy,02272017_1,42.0,40.0,9.0,1.0,0.0,1.0,1.0
103,hmm_9010_greedy,02272017_1,43.0,41.0,10.0,1.0,0.0,1.0,1.0
104,hmm_9010_greedy,02272017_1,44.0,42.0,11.0,1.0,0.0,1.0,1.0
105,hmm_9010_greedy,02272017_1,45.0,43.0,12.0,1.0,0.0,1.0,0.0
